Live Chat ID,Channel ID,Live Chat Create Timestamp,Price,Video ID,Live Chat Text
UgxH4CCDnWqQ9B-MIsF4AaABDqgBmouumAI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-10-13T20:25:10.781187+00:00,0,GfPSGm-cSQs,"{""text"":""kazi safi""}"
UgwqUv8Zh_bS9wEGEwF4AaABDqgBiKyZmwI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-10-13T20:20:14.795965+00:00,0,GfPSGm-cSQs,"{""text"":""ms yako ni ngapi 😂😂""}"
Ugxopw4lJDb_1Y_C26d4AaABDqgBl_e_hQI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-10-02T19:51:45.766393+00:00,0,Ofmv3pv-LSM,"{""text"":""mag moja ya uzi 😂😂""}"
Ugy2y0owm7na9OHFupd4AaABDqgBh7b2jwI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-09-22T09:06:42.953269+00:00,0,12YZyU1IWpU,"{""text"":""you open the files cabinet to enter the secret room""}"
Ugw_3vIMOl9wRDOUNRl4AaABDqgBqJbqhAI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-09-19T11:21:37.491838+00:00,0,LIDU1MSHQg8,"{""text"":""Nairobi""}"
UgxPnhUYInE3KgB-jKl4AaABDqgB19qlnQI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-09-11T05:55:16.545278+00:00,0,8APdrOfGQng,"{""text"":""👍🏾😜""}"
UgwAVRWKb1e6fDsc-ox4AaABDqgB-JCwjQI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-09-10T10:37:37.927126+00:00,0,nJLsb6Fbn9Y,"{""text"":""🤣🤣🤣🤣""}"
Ugy5BXzteysib1ksnFt4AaABDqgBs5zHlgI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-08-27T18:46:54.931748+00:00,0,ygSsSWp52LY,"{""text"":""ati after-party 🤣🤣""}"
Ugy41ZvKjl2dW3NmjPh4AaABDqgB8t2tkgI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-08-16T15:14:36.90034+00:00,0,3XGePO0XFdo,"{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/KC1AADUNDBoSP4si6Ewmh2eNSUqj9lStUxtyT7d4cxsqtG-G7jPEcjftTOzbiQqe_s10dyC4k48""}}"
Ugw62Ale8jVudt-n4R94AaABDqgB3baJjwI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-08-02T15:20:17.051539+00:00,0,5sCefCGEm-U,"{""text"":""ingia next match uwaonyeshe conqueror gameplay... fox""}"
Ugz9cK6GSm8bW7-IF5d4AaABDqgBmrGcjAI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-08-02T15:17:15.533907+00:00,0,5sCefCGEm-U,"{""text"":""fox kwani amehepa""}"
UgzwybPkPhccajbkEE14AaABDqgBkLaAhwI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-08-02T15:04:38.798946+00:00,0,5sCefCGEm-U,"{""text"":""🤣""}"
UgwNp74kJEwcNyYRy8x4AaABDqgBxbCMngI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-05-28T19:42:21.583684+00:00,0,gQdeawkIozo,"{""text"":""😂😂glitch""}"
UgzC-hp05UIWpNrKxQ94AaABDqgBjZSYjgI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-05-28T19:34:02.879313+00:00,0,gQdeawkIozo,"{""text"":""👏""}"
Ugz_wrllCdI92OoguN14AaABDqgB0umRlAI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-23T18:46:02.439433+00:00,0,CRddNYd1SC4,"{""text"":""awesome 👍""}"
UgyHC7nwTz6tRbsyBqZ4AaABDqgBi63yggI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-23T18:39:37.28039+00:00,0,CRddNYd1SC4,"{""text"":""hello""}"
UgyknunhpjbQBWUthEV4AaABDqgBuIKniAI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-15T16:27:20.470146+00:00,0,mwjZjpu65CM,"{""text"":""hello""}"
UgzuAjHT2RGvnApoKlV4AaABDqgBr4n2lwI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-04-01T17:16:47.017418+00:00,0,e9G2fAl1yEc,"{""text"":""unaprefer single shot kuliko auto spray?""}"
UgyiiEQHXB5c1vtSPNh4AaABDqgBltWznAI,UCwm-CZ1MhpOutiaC5jJ2adQ,2022-03-18T15:10:12.386245+00:00,0,WwZqWU97HSM,"{""text"":""👍""}"





