Channel Id,Channel Url,Channel Title
UCv5pP-F3kL94IzjgBB5CDXg,http://www.youtube.com/channel/UCv5pP-F3kL94IzjgBB5CDXg,Waigera
UCvC4D8onUfXzvjTOM-dBfEA,http://www.youtube.com/channel/UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment
UCvTg9BK7sRKwu1H9_VDPYIQ,http://www.youtube.com/channel/UCvTg9BK7sRKwu1H9_VDPYIQ,PUBG MOBILE Esports MEA
UCvhPRRiwI1_p4OBsY0yz6mg,http://www.youtube.com/channel/UCvhPRRiwI1_p4OBsY0yz6mg,BBC News Africa
UCvw3mRp82gn47qdafyb2ZQg,http://www.youtube.com/channel/UCvw3mRp82gn47qdafyb2ZQg,Her Gaming
UCx1WDOZzmyIa1MlK1W3RdOg,http://www.youtube.com/channel/UCx1WDOZzmyIa1MlK1W3RdOg,"It's Related, I Promise"





